"actual_type","predict_type","prob_spam","prob_ham"
"ham","ham",0,1
"ham","ham",1e-05,0.99999
"ham","ham",0.00014,0.99986
"ham","ham",4e-05,0.99996
"spam","spam",1,0
"ham","ham",0.00015,0.99985
"ham","ham",0.00297,0.99703
"ham","ham",1e-05,0.99999
"ham","ham",1e-05,0.99999
"spam","spam",1,0
"ham","ham",1e-05,0.99999
"ham","ham",4e-05,0.99996
"ham","ham",1e-05,0.99999
"spam","spam",1,0
"spam","spam",1,0
"ham","ham",8e-05,0.99992
"ham","ham",0,1
"ham","ham",0,1
"ham","ham",0,1
"ham","ham",0.03493,0.96507
"ham","ham",3e-05,0.99997
"ham","ham",0.00017,0.99983
"ham","ham",0,1
"ham","ham",0.00012,0.99988
"ham","ham",0,1
"ham","ham",5e-05,0.99995
"ham","ham",0,1
"ham","ham",2e-05,0.99998
"ham","ham",0.00034,0.99966
"ham","ham",0.00415,0.99585
"ham","ham",0.00046,0.99954
"ham","ham",0.00041,0.99959
"ham","ham",0.00035,0.99965
"ham","ham",0,1
"spam","spam",0.99985,0.00015
"ham","ham",1e-04,0.9999
"ham","ham",0.00017,0.99983
"ham","ham",4e-05,0.99996
"ham","ham",0,1
"spam","spam",1,0
"ham","ham",0.00012,0.99988
"ham","ham",0,1
"ham","ham",1e-05,0.99999
"ham","ham",2e-05,0.99998
"ham","ham",1e-05,0.99999
"ham","ham",9e-05,0.99991
"ham","ham",5e-05,0.99995
"ham","ham",0,1
"ham","ham",0,1
"spam","spam",1,0
"ham","ham",0.00036,0.99964
"ham","ham",8e-04,0.9992
"spam","ham",0.00064,0.99936
"ham","ham",1e-05,0.99999
"ham","ham",0.00015,0.99985
"ham","ham",2e-04,0.9998
"ham","ham",0.00565,0.99435
"ham","ham",5e-05,0.99995
"spam","ham",0.00354,0.99646
"ham","ham",0,1
"ham","ham",0.00064,0.99936
"ham","ham",2e-05,0.99998
"ham","ham",0.00044,0.99956
"ham","ham",0.0014,0.9986
"ham","ham",3e-05,0.99997
"ham","ham",2e-05,0.99998
"ham","ham",0,1
"ham","ham",0.01036,0.98964
"ham","ham",0.00294,0.99706
"ham","ham",9e-05,0.99991
"ham","ham",0.01791,0.98209
"ham","ham",0.04831,0.95169
"spam","ham",0.01299,0.98701
"ham","ham",0,1
"ham","ham",0,1
"spam","ham",0.00622,0.99378
"ham","ham",0.00012,0.99988
"ham","ham",0.00268,0.99732
"ham","ham",6e-05,0.99994
"ham","ham",0.00337,0.99663
"spam","spam",0.96628,0.03372
"ham","ham",0.00043,0.99957
"ham","ham",2e-05,0.99998
"ham","ham",0,1
"ham","ham",0.00053,0.99947
"ham","ham",0.00019,0.99981
"ham","ham",0,1
"ham","ham",0.00178,0.99822
"ham","ham",6e-05,0.99994
"ham","ham",0,1
"ham","ham",0.00082,0.99918
"ham","ham",4e-05,0.99996
"ham","ham",0.00025,0.99975
"ham","ham",0,1
"ham","ham",2e-05,0.99998
"ham","ham",0.00064,0.99936
"ham","ham",1e-05,0.99999
"spam","spam",1,0
"ham","ham",0,1
"ham","ham",0.07062,0.92938
"ham","ham",0,1
"ham","ham",3e-05,0.99997
"ham","ham",1e-04,0.9999
"ham","ham",0,1
"ham","ham",0.00029,0.99971
"ham","ham",9e-05,0.99991
"ham","ham",0,1
"ham","ham",1e-05,0.99999
"ham","ham",2e-05,0.99998
"spam","spam",1,0
"spam","spam",0.99975,0.00025
"ham","ham",0.00064,0.99936
"ham","ham",0.00064,0.99936
"ham","ham",0.00011,0.99989
"ham","ham",0.00038,0.99962
"ham","ham",5e-05,0.99995
"ham","ham",0,1
"ham","ham",0,1
"ham","ham",5e-05,0.99995
"ham","ham",0.00403,0.99597
"ham","ham",0.02282,0.97718
"ham","ham",0,1
"ham","ham",0,1
"ham","ham",0,1
"ham","ham",8e-05,0.99992
"spam","spam",1,0
"ham","ham",0,1
"ham","ham",1e-05,0.99999
"ham","ham",1e-05,0.99999
"ham","ham",0,1
"ham","ham",0,1
"ham","ham",2e-05,0.99998
"spam","spam",1,0
"ham","ham",0.00021,0.99979
"ham","ham",7e-05,0.99993
"ham","ham",0,1
"ham","ham",0.00088,0.99912
"ham","ham",0,1
"ham","ham",0.00568,0.99432
"ham","ham",0.00014,0.99986
"ham","ham",2e-05,0.99998
"ham","ham",7e-05,0.99993
"ham","ham",0,1
"ham","ham",0,1
"ham","ham",1e-05,0.99999
"ham","ham",4e-05,0.99996
"spam","spam",1,0
"ham","ham",0.00048,0.99952
"ham","ham",0,1
"ham","ham",0.00025,0.99975
"ham","ham",7e-05,0.99993
"ham","ham",0.00064,0.99936
"spam","spam",1,0
"ham","ham",0,1
"spam","spam",1,0
"ham","ham",0,1
"ham","ham",0,1
"ham","ham",0.00035,0.99965
"spam","spam",0.98862,0.01138
"ham","ham",0.00064,0.99936
"ham","ham",0.00027,0.99973
"ham","ham",1e-05,0.99999
"ham","ham",0,1
"ham","ham",0.00206,0.99794
"spam","spam",1,0
"ham","ham",0,1
"ham","ham",2e-04,0.9998
"ham","ham",7e-05,0.99993
"spam","spam",0.98642,0.01358
"ham","ham",5e-05,0.99995
"ham","ham",1e-05,0.99999
"ham","ham",7e-05,0.99993
"ham","ham",0.00859,0.99141
"ham","ham",0.00017,0.99983
"ham","ham",0,1
"ham","ham",0,1
"ham","ham",9e-05,0.99991
"ham","ham",0.00015,0.99985
"spam","spam",0.99916,0.00084
"ham","ham",0,1
"ham","ham",0.00535,0.99465
